# State Code or Tribal Indicator (TT),County Code or Tribal Code,Site_ID Number,Parameter Code,POC,Design Value Year,Exceptional Data Type,Pollutant Standard,DV Standard Statistic,DV Standard Level,Units Code,Units Name,STREET ADDRESS,Site Latitude,Site Longitude,Design Value Year:  Valid Days,Design Value Year:  Missing Days Assumed Less Than Standard,Design Value Year:  Required Days,Design Value Year:  Percent Complete,Design Value Year:  4th Maximum,Design Value Year:  Certification,Year - 1:  Valid Days,Year - 1:  Missing Days Assumed Less Than Standard,Year - 1:  Required Days,Year - 1:  Percent Complete,Year - 1:  4th Maximum,Year - 1:  Certification,Year - 2:  Valid Days,Year - 2:  Missing Days Assumed Less Than Standard,Year - 2:  Required Days,Year - 2:  Percent Complete,Year - 2:  4th Maximum,Year - 2:  Certification,3-Year Percent Complete,3-Year Design Value,3-Year DV Validity Indicator
#  Warning: Computed design values represent snapshot of data at time report was run and this may be incomplete data.
#  Report Date:  2018-08-03
06,079,0005,44201,,2008,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,245,0,366,67,.065,,361,0,365,99,.068,,360,0,365,99,.072,,88,.068,N
06,079,0005,44201,,2009,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,357,0,365,98,.06,,245,0,366,67,.065,,361,0,365,99,.068,,88,.064,N
06,079,0005,44201,,2010,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,362,0,365,99,.069,,357,0,365,98,.06,,245,0,366,67,.065,,88,.064,N
06,079,0005,44201,,2011,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,360,0,365,99,.063,Y,362,0,365,99,.069,,357,0,365,98,.06,,99,.064,Y
06,079,0005,44201,,2012,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,362,0,366,99,.066,,360,0,365,99,.063,Y,362,0,365,99,.069,,99,.066,Y
06,079,0005,44201,,2013,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,363,0,365,99,.061,,362,0,366,99,.066,,360,0,365,99,.063,Y,99,.063,Y
06,079,0005,44201,,2014,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,359,0,365,98,.058,S,363,0,365,99,.061,,362,0,366,99,.066,,99,.061,Y
06,079,0005,44201,,2015,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,364,0,365,100,.065,S,359,0,365,98,.058,S,363,0,365,99,.061,,99,.061,Y
06,079,0005,44201,,2016,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,363,0,366,99,.063,Y,364,0,365,100,.065,S,359,0,365,98,.058,S,99,.062,Y
06,079,0005,44201,,2017,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"235 SANTA FE AVENUE, PASO ROBLES, CA",35.614668,-120.656912,349,0,365,96,.065,Y,363,0,366,99,.063,Y,364,0,365,100,.065,S,98,.064,Y
06,079,2006,44201,,2008,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,363,0,366,99,.06,,358,0,365,98,.057,,359,0,365,98,.055,,98,.057,Y
06,079,2006,44201,,2009,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,365,0,365,100,.061,,363,0,366,99,.06,,358,0,365,98,.057,,99,.059,Y
06,079,2006,44201,,2010,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,363,0,365,99,.057,,365,0,365,100,.061,,363,0,366,99,.06,,99,.059,Y
06,079,2006,44201,,2011,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,352,0,365,96,.055,Y,363,0,365,99,.057,,365,0,365,100,.061,,98,.057,Y
06,079,2006,44201,,2012,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,365,0,366,100,.051,,352,0,365,96,.055,Y,363,0,365,99,.057,,98,.054,Y
06,079,2006,44201,,2013,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,361,0,365,99,.05,,365,0,366,100,.051,,352,0,365,96,.055,Y,98,.052,Y
06,079,2006,44201,,2014,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,362,0,365,99,.062,S,361,0,365,99,.05,,365,0,366,100,.051,,99,.054,Y
06,079,2006,44201,,2015,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,349,0,365,96,.057,S,362,0,365,99,.062,S,361,0,365,99,.05,,98,.056,Y
06,079,2006,44201,,2016,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,365,0,366,100,.054,Y,349,0,365,96,.057,S,362,0,365,99,.062,S,98,.057,Y
06,079,2006,44201,,2017,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.25651,-120.6693,362,0,365,99,.059,Y,365,0,366,100,.054,Y,349,0,365,96,.057,S,98,.056,Y
06,079,3001,44201,,2008,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.36631,-120.84271,354,0,366,97,.058,,345,0,365,95,.053,,337,0,365,92,.053,,95,.054,Y
06,079,3001,44201,,2009,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.36631,-120.84271,322,0,365,88,.057,,354,0,366,97,.058,,345,0,365,95,.053,,93,.056,Y
06,079,3001,44201,,2010,5,Ozone 8-hour 2015,Annual 4th Maximum,.07,007,Parts per million,"MORRO BAY BLVD & KERN AVE, MORRO BAY",35.36631,-120.84271,358,0,365,98,.052,,322,0,365,88,.057,,354,0,366,97,.058,,94,.055,Y
