# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180101|00:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|01:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|02:00|2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|03:00|2.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|04:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|05:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|06:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|07:00|2.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|08:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|09:00|3.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|10:00|2.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|11:00|2.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|12:00|4.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|13:00|4.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|14:00|4.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|15:00|3.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|16:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|17:00|0.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|18:00|1.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|19:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|20:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|21:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|22:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180101|23:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|00:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|01:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|02:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|03:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|04:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|05:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|06:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|07:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|08:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|09:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|10:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|11:00|4.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|12:00|5.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|13:00|4.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|14:00|5.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|15:00|4.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|16:00|3.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|17:00|0.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180102|18:00|1.6|||||||||||||||
