# State Code or Tribal Indicator (TT),County Code or Tribal Code,Site_ID Number,Parameter Code,Design Value Year,Exceptional Data Type,Daily Pollutant Standard,Daily Standard Statistic,Daily Standard Level,Annual Pollutant Standard,Annual Standard Statistic,Annual Standard Level,Units Code,Units Name,STREET ADDRESS,Site Latitude,Site Longitude,DV Year:  Creditable Count,DV Year:  Complete Quarters,DV Year:  Arithmetic Mean,DV Year:  Min Substituted Mean,DV Year:  Max Substituted Mean,DV Year:  Mean Complete,DV Year:  98th Percentile,DV Year:  98th Complete,DV Year:  Certification,Year - 1:  Creditable Count,Year - 1:  Complete Quarters,Year - 1:  Arithmetic Mean,Year - 1:  Min Substituted Mean,Year - 1:  Max Substituted Mean,Year - 1:  Mean Complete,Year - 1:  98th Percentile,Year - 1:  98th Complete,Year - 1:  Certification,Year - 2:  Creditable Count,Year - 2:  Complete Quarters,Year - 2:  Arithmetic Mean,Year - 2:  Min Substituted Mean,Year - 2:  Max Substituted Mean,Year - 2:  Mean Complete,Year - 2:  98th Percentile,Year - 2:  98th Complete,Year - 2:  Certification,Daily Design Value,Daily Max Substituted Design Value,Daily Validity Indicator,Annual Design Value,Annual Min Substituted Design Value,Annual Max Substituted Design Value,Annual Validity Indicator
#  Warning: Computed design values represent snapshot of data at time report was run and this may be incomplete data.
#  Report Date:  20170517
06,079,2004,88101,2011,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"1300 GUADALUPE RD., NIPOMO, CA., 93444",35.02083,-120.56388,354,4,8.26783637751360285442081753228505433798,,,Y,20.8,Y,,360,4,8.17540463056017778656459316129481047023,,,Y,22.4,Y,,184,2,8.05271739130434782608695652173913043479,4.72635869565217391304347826086956521739,,N,19.3,N,,21,,N,8.2,7.1,,N
06,079,8001,88101,2013,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,361,4,7.54992431783192652757870149174497000584,,,Y,23.2,Y,S,362,4,6.01694161816444425140077313990357468618,,,Y,15.7,Y,,360,4,7.5322052947052947052947052947052947053,,,Y,22.2,Y,,20,,Y,7,,,Y
06,079,8001,88101,2010,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,309,4,6.2623146116125299157506541638513358859,,,Y,16,Y,,237,4,9.24569499882834685699079755819541585743,,,Y,26.4,Y,,58,4,8.14797619047619047619047619047619047619,,,Y,20.2,Y,,21,,Y,7.9,,,Y
06,079,2007,88101,2012,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"2391 Willow Road, Arroyo Grande, California",35.0333099603316,-120.584300592308,353,4,9.60087684363860882343214210988189167639,,,Y,30,Y,,343,4,11.95025687137110358084140855676436200781,,,Y,30.2,Y,,125,1,9.98405797101449275362318840579710144928,,,N,23.9,N,,28,,N,10.5,,,N
06,079,2006,88101,2016,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",35.256576874894,-120.66986143066,188,2,9.02306538591169531513313110886417256488,6.46752631216104421362257560437540215093,,N,19,N,,246,3,5.57053140096618357487922705314009661836,4.22789855072463768115942028985507246377,,N,14.3,N,S,361,4,6.03286648342495418957188072630351490921,,,Y,13.1,Y,S,15,,N,6.9,5.6,,N
06,079,2004,88101,2012,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"1300 GUADALUPE RD., NIPOMO, CA., 93444",35.02083,-120.56388,362,4,8.05384900425661295226512617816965643053,,,Y,24.6,Y,,354,4,8.26783637751360285442081753228505433798,,,Y,20.8,Y,,360,4,8.17540463056017778656459316129481047023,,,Y,22.4,Y,,23,,Y,8.2,,,Y
06,079,8001,88101,2008,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,58,4,8.14797619047619047619047619047619047619,,,Y,20.2,Y,,58,4,7.81559523809523809523809523809523809524,,,Y,22.7,Y,,60,4,8.36101190476190476190476190476190476191,,,Y,22.2,Y,,22,,Y,8.1,,,Y
06,079,8001,88101,2015,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,51,0,11.85490196078431372549019607843137254902,,,N,23.7,N,S,361,4,5.77371372588763893111719198675720414851,,,Y,20.2,Y,S,361,4,7.54992431783192652757870149174497000584,,,Y,23.2,Y,S,22,,N,8.4,,,N
06,079,8001,88101,2014,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,361,4,5.77371372588763893111719198675720414851,,,Y,20.2,Y,S,361,4,7.54992431783192652757870149174497000584,,,Y,23.2,Y,S,362,4,6.01694161816444425140077313990357468618,,,Y,15.7,Y,,20,,Y,6.4,,,Y
06,079,8001,88101,2007,5,PM25 24-hour 2012,Annual 98th Percentile,35,PM25 Annual 2012,Annual Weighted Mean,12,105,Micrograms/cubic meter (LC),"6005 LEWIS AVENUE, ATASCADERO, CA 93422",35.49158,-120.66804,58,4,7.81559523809523809523809523809523809524,,,Y,22.7,Y,,60,4,8.36101190476190476190476190476190476191,,,Y,22.2,Y,,59,4,7.40398809523809523809523809523809523809,,,Y,25.2,Y,Y,23,,Y,7.9,,,Y
