"date","ws.cdf","wd.cdf","pm10.cdf","pm10.oso","wd.s1","ws.s1"
2016-01-01 00:00:00,3.5,97,25,20,106.9,4.097
2016-01-01 01:00:00,2.5,100,28,24,116.1,4.134
2016-01-01 02:00:00,3.8,91,25,14,117.7,3.206
2016-01-01 03:00:00,2.5,87,20,16,94.4,3.014
2016-01-01 04:00:00,2,80,17,13,97.8,2.893
2016-01-01 05:00:00,3.4,92,13,10,79.16,2.028
2016-01-01 06:00:00,2.1,79,13,10,104.3,2.248
2016-01-01 07:00:00,1.6,83,15,9,88.3,2.52
2016-01-01 08:00:00,2.2,121,24,8,110.3,1.797
2016-01-01 09:00:00,3.1,121,12,5,98.4,1.023
2016-01-01 10:00:00,2.3,114,11,6,101.1,1.638
2016-01-01 11:00:00,3,238,10,4,128.1,1.978
2016-01-01 12:00:00,6.6,258,35,10,254,1.42
2016-01-01 13:00:00,5.7,234,25,9,282.4,2.079
2016-01-01 14:00:00,3.5,280,44,9,301.4,1.828
2016-01-01 15:00:00,3,307,47,18,321.2,2.075
2016-01-01 16:00:00,1.5,346,20,63,326.3,1.996
2016-01-01 17:00:00,1,39,17,35,1.963,1.839
2016-01-01 18:00:00,1.5,70,36,23,21.42,1.917
2016-01-01 19:00:00,1.6,85,34,21,71.54,1.37
2016-01-01 20:00:00,2.1,78,32,24,112.5,1.799
2016-01-01 21:00:00,1.9,81,39,23,104.6,2.142
2016-01-01 22:00:00,1.9,63,34,17,90.1,2.048
2016-01-01 23:00:00,1.4,97,26,20,81.3,2.161
2016-01-02 00:00:00,1.5,78,38,16,93.9,1.398
2016-01-02 01:00:00,1.7,86,32,18,77.09,1.783
2016-01-02 02:00:00,2.6,84,20,6,84,1.382
2016-01-02 03:00:00,3.3,84,18,5,68.32,1.972
2016-01-02 04:00:00,2.6,88,20,7,77.37,2.045
2016-01-02 05:00:00,2.7,90,16,7,82.5,1.616
2016-01-02 06:00:00,1.7,100,18,8,98.7,2.056
2016-01-02 07:00:00,2.7,97,26,13,100.6,2.315
2016-01-02 08:00:00,3.4,110,16,11,116.6,2.958
2016-01-02 09:00:00,3.4,138,19,19,122.6,3.427
2016-01-02 10:00:00,1.6,94,29,21,128.6,4.067
2016-01-02 11:00:00,5.7,149,11,13,107.5,2.445
2016-01-02 12:00:00,6.3,149,17,9,186.8,2.156
2016-01-02 13:00:00,5.2,210,48,9,294.9,2.833
2016-01-02 14:00:00,4.6,195,46,12,296.3,3.292
2016-01-02 15:00:00,9.3,208,17,18,221.2,5.695
2016-01-02 16:00:00,7.5,211,11,13,206.8,6.362
2016-01-02 17:00:00,3.5,224,10,16,205.3,5.874
2016-01-02 18:00:00,1,47,24,11,201.5,3.666
2016-01-02 19:00:00,1.5,85,33,13,122.6,1.813
2016-01-02 20:00:00,2,91,27,13,87.9,1.404
2016-01-02 21:00:00,1.6,48,30,17,97.9,1.545
2016-01-02 22:00:00,2.3,84,23,16,93.4,1.791
2016-01-02 23:00:00,2.2,111,24,23,83.1,2.283
2016-01-03 00:00:00,2.7,86,28,20,116,2.639
2016-01-03 01:00:00,1.7,68,16,14,104.6,2.778
2016-01-03 02:00:00,2.1,61,17,14,93.7,3.023
2016-01-03 03:00:00,2.9,77,16,13,88.4,3.401
2016-01-03 04:00:00,3.2,87,15,9,88.7,4.015
2016-01-03 05:00:00,2.4,77,12,11,83.7,3.554
2016-01-03 06:00:00,1.5,73,17,10,102.2,3.574
2016-01-03 07:00:00,0.2,110,16,12,114.5,2.813
2016-01-03 08:00:00,0.8,134,18,11,99.8,1.88
2016-01-03 09:00:00,0.9,77,25,8,124.2,2.384
2016-01-03 10:00:00,6.5,137,14,9,86.7,2.211
2016-01-03 11:00:00,11.5,149,20,16,139.3,3.333
2016-01-03 12:00:00,12.6,145,30,31,151.9,7.154
2016-01-03 13:00:00,11.3,142,41,29,143.3,8.25
2016-01-03 14:00:00,9.3,146,20,16,140.4,7.874
2016-01-03 15:00:00,8,136,31,22,152.1,5.874
2016-01-03 16:00:00,6.7,151,14,12,146.2,6.381
2016-01-03 17:00:00,7.6,134,15,11,154.8,5.444
2016-01-03 18:00:00,7.5,122,19,9,149.5,4.272
2016-01-03 19:00:00,8.4,129,24,17,127.8,3.547
2016-01-03 20:00:00,6.8,138,20,15,136.5,3.546
2016-01-03 21:00:00,7.2,144,18,16,151.4,2.715
2016-01-03 22:00:00,5.8,130,12,15,140.2,4.465
