Timestamp,Scalar Wind Speed,Vector Wind Speed,Wind Gust,KE Total,PC Total,Temperature,Relative Humidity,Battery Voltage,Vector Wind Direction,Sigma-Theta
03/08/2018 15:00:00,8.45,8.43,11.3,70684,28537,15.21,64.88,13.29,288.1,3.998
03/08/2018 16:00:00,7.736,7.711,11.06,19975,5844,15.63,67.35,13.44,292.7,4.585
03/08/2018 17:00:00,5.931,5.903,9.4,216,42,15.57,67.67,13.1,293.7,5.562
03/08/2018 18:00:00,6.238,6.192,9.6,802,281,14.5,69.45,12.9,296.2,6.943
03/08/2018 19:00:00,3.945,3.806,8.61,0,0,14.06,76.85,12.86,290.2,15.21
03/08/2018 20:00:00,3.197,3.086,5.799,0,0,13.67,84.6,12.84,308.5,15.05
03/08/2018 21:00:00,2.157,2.043,6.189,0,0,13.61,87.8,12.81,286.7,18.6
03/08/2018 22:00:00,4.475,4.439,7.36,0,0,12.95,93.9,12.79,301,7.247
03/08/2018 23:00:00,1.901,1.07,3.607,0,0,12.53,99.5,12.78,94.3,53.55
03/09/2018 00:00:00,2.077,2.027,3.096,0,0,12.38,100,12.75,103.8,12.54
03/09/2018 01:00:00,1.864,1.728,3.055,0,0,12.01,100,12.74,122.7,21.93
03/09/2018 02:00:00,2.142,1.886,4.482,0,0,11.62,100,12.7,109.8,28
03/09/2018 03:00:00,1.09,0.56,3.163,0,0,11.29,100,12.68,253.3,56.47
03/09/2018 04:00:00,0.963,0.899,2.005,0,0,10.83,100,12.66,66.7,20.9
03/09/2018 05:00:00,0.479,0.407,1.763,0,0,10.89,100,12.63,59.5,31.38
03/09/2018 06:00:00,1.54,1.517,3.217,0,0,11.49,100,12.6,75.55,9.83
03/09/2018 07:00:00,1.182,1.069,2.786,0,0,11.91,100,12.59,98.3,25.08
03/09/2018 08:00:00,1.815,1.393,3.284,0,0,11.9,100,12.6,130.3,39.05
03/09/2018 09:00:00,1.622,1.307,3.431,0,0,12.06,100,12.62,150.4,35.72
03/09/2018 10:00:00,2.589,2.51,4.077,0,0,11.92,100,12.68,235.3,14.17
03/09/2018 11:00:00,1.568,1.439,2.973,0,0,12.2,100,12.93,283.5,23.22
03/09/2018 12:00:00,3.155,3.12,5.662,0,0,12.28,100,13.21,274.5,8.59
03/09/2018 13:00:00,4.099,4.051,5.811,0,0,11.91,100,13.21,287.7,8.77
