Data was saved using Vista Data Vision
Saved: 2019-01-04 21:56:19

Time Period: 2018-01-01 00:00:00 - 2019-01-01 00:00:00

Time,Oceano Dunes: 10m StandevWS[N/A],Oceano Dunes: WS Gust Time 7m[N/A],Oceano Dunes: WS Gust Time 2m[N/A],Oceano Dunes: WS Gust Time 10m[N/A],Oceano Dunes: WS Gust 7m[m/s],Oceano Dunes: WS Gust 2m[m/s],Oceano Dunes: WS Gust 10m[m/s],Oceano Dunes: VWS 7m[m/s],Oceano Dunes: VWS 2m[m/s],Oceano Dunes: VWS 10m[m/s],Oceano Dunes: VWD 7m[°],Oceano Dunes: VWD 2m[°],Oceano Dunes: VWD 10m[°],Oceano Dunes: Tower S1 Wind Direction[°],Oceano Dunes: Tower S1 Temperature[°C],Oceano Dunes: Tower S1 RH[%RH],Oceano Dunes: Tower S1 10m Wind Speed[m/s],Oceano Dunes: Temperature[°C],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: SWS 7m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 2m[m/s],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWS 10m[m/s],Oceano Dunes: SWD 7m[°],Oceano Dunes: SWD 2m[°],Oceano Dunes: SWD 10m[°],Oceano Dunes: Sigma Theta (Yam) 7m[°],Oceano Dunes: Sigma Theta (Yam) 2m[°],Oceano Dunes: Sigma Theta (Yam) 10m[°],Oceano Dunes: Sigma Theta (CSI) 7m[°],Oceano Dunes: Sigma Theta (CSI) 2m[°],Oceano Dunes: Sigma Theta (CSI) 10m[°],Oceano Dunes: Sensit Particle Count[Counts],Oceano Dunes: Sensit Kinetic Energy[N/A],Oceano Dunes: Relative Humidity[%RH],Oceano Dunes: Battery Voltage[V],Oceano Dunes: 7m StandevWS[N/A],Oceano Dunes: 2m StandevWS[N/A],Oceano Dunes: 10m-7m WS[N/A],Oceano Dunes: 10m-2m WS[N/A]
2018-02-09 15:00:00,30.098797864151,,,,8.92,0.686,10.71,0.821,3.491,9.39,101.2,167.3,293.8,293.8,16.94,75.69,9.4,16.94,0.011,0.011,-3.496,-3.496,9.4,9.4,7.677,350.1,293.8,11.49,4.898,3.202,0,114.5,3.198,856,1227,75.69,13.98,0.12638999679744,-17.123407425396,9.3889996185899,12.895999670029
2018-02-09 16:00:00,32.108640674934,,,,-5.42,-6.173,11.26,10.17,10.04,9.04,160.6,152,293.7,293.7,16.97,72.86,9.06,16.97,-10.17,-10.17,-10.04,-10.04,9.06,9.06,340.7,332.1,293.7,1.027,0.879,3.544,114.5,114.5,3.638,29033,66370,72.86,13.54,-10.444589574013,-8.8251600478554,19.230000495911,19.10000038147
2018-02-09 17:00:00,183.78358978645,,,,-10.26,-10.14,10.48,10.31,10.16,5.455,159.6,152,302.1,302.1,18.07,61.4,5.827,18.07,-10.31,-10.31,-10.16,-10.16,5.827,5.827,339.6,332,310,0.26,0.223,31.54,114.6,114.6,20.48,180,945,61.4,13.2,-2.6806000107765,-2.2656800156307,16.13700056076,15.986999988556
2018-02-09 18:00:00,29.031200847435,,,,-10.29,-10.15,6.846,10.48,10.3,3.242,158.9,151.9,310.5,310.5,17.45,63.82,3.299,17.45,-10.48,-10.48,-10.3,-10.3,3.299,3.299,338.9,331.9,311,0.309,0.421,8.8,114.6,114.6,10.69,0,0,63.82,12.88,-3.2383197061348,-4.3363001195908,13.778999567032,13.59900021553
2018-02-09 19:00:00,19.856583854309,,,,-10.59,-10.4,4.735,10.68,10.47,2.885,157.9,151.7,7.46,7.46,18.23,54.39,3.212,18.23,-10.68,-10.68,-10.47,-10.47,3.212,3.212,337.9,331.7,3.585,0.272,0.283,6.182,114.6,114.6,25.86,0,0,54.39,12.82,-2.9049602408791,-2.9630099956894,13.892000198364,13.682000160217
2018-02-09 20:00:00,35.439909408894,,,,-10.53,-10.37,4.358,10.58,10.42,1.91,158.1,151.6,76.8,76.8,17.67,50.98,2.189,17.67,-10.58,-10.58,-10.42,-10.42,2.189,2.189,338.1,331.6,87.8,0.354,0.357,16.19,114.6,114.6,28.94,0,0,50.98,12.74,-3.7453199956942,-3.7199399576759,12.768999814987,12.608999967575
2018-02-09 21:00:00,29.304989242802,,,,-10.67,-10.48,2.287,10.84,10.61,1.151,157,151.6,161.3,161.3,15.08,64.65,1.287,15.08,-10.84,-10.84,-10.61,-10.61,1.287,1.287,337,331.7,160.4,0.294,0.3,22.77,114.6,114.6,26.38,0,0,64.65,12.66,-3.1869600422764,-3.1830000234842,12.12700009346,11.896999597549
2018-02-09 22:00:00,32.308802193832,,,,-10.93,-10.67,3.472,10.98,10.7,1.381,156.3,151.6,137.9,137.9,14.05,68.72,1.524,14.05,-10.98,-10.98,-10.7,-10.7,1.524,1.524,336.3,331.6,138.1,0.36,0.37,21.2,114.6,114.6,24.8,0,0,68.72,12.58,-3.9527999922752,-3.9589999804497,12.503999590874,12.223999857903
2018-02-09 23:00:00,24.032878458853,,,,-11.02,-10.73,1.952,11.07,10.77,0.526,155.8,151.7,159.6,159.6,13.24,73.12,0.696,13.24,-11.07,-11.07,-10.78,-10.78,0.696,0.696,335.8,331.7,171.5,0.447,0.377,34.53,114.6,114.6,39.99,0,0,73.12,12.55,-4.9482898292756,-4.0640599430227,11.765999674797,11.475999712944
2018-02-10 00:00:00,30.954979678888,,,,-11.08,-10.78,2.328,11.11,10.81,0.701,155.5,151.7,161.4,161.4,12.4,81.9,0.889,12.4,-11.11,-11.11,-10.81,-10.81,0.889,0.889,335.5,331.7,165.4,0.384,0.425,34.82,114.6,114.6,37.19,0,0,81.9,12.54,-4.2662399052477,-4.5942503072023,11.998999655247,11.699000418186
